No,Blok,Nama,NIM,Prodi,Fakultas,Tahun,Institusi,Gelar,Nomor Seri,Judul Skripsi,Hash
17,17,DEDI NUGROHO,20/738224/EB/49684,BISNIS DIGITAL,FAKULTAS EKONOMI & BISNIS,2024,UNIVERSITAS GADJAH MADA,S.Ak.,UGM/2024/0017,ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI LOYALITAS PELANGGAN,96d43c0cc45e8f315e8729f58321e50c3f6c8a51220a0145fe5eb3ba066f504c
18,18,WISNU RAHMAWATI,22/444538/IB/89823,ILMU SEJARAH,FAKULTAS ILMU BUDAYA,2026,UNIVERSITAS GADJAH MADA,S.Hum.,UGM/2026/0018,KAJIAN SEMIOTIKA IKLAN TELEVISI INDONESIA KONTEMPORER,62cd8f608cd22d342a4eb4d2c198f87590f391777d1acb978fbc1a40e13946b4
19,19,NUR KURNIAWAN,20/752020/MP/94402,MATEMATIKA,FAKULTAS MIPA,2024,UNIVERSITAS GADJAH MADA,S.Si.,UGM/2024/0019,ANALISIS KUALITAS AIR SUNGAI DENGAN METODE INDEKS PENCEMARAN,35b9c029aa6151b17460f0a3ce5ef69e4aa1b391cfd2c699fa0ce08579f5e062
20,20,DEDI RAHMAWATI,20/977768/PT/63675,PETERNAKAN,FAKULTAS PERTANIAN,2024,UNIVERSITAS GADJAH MADA,S.P.,UGM/2024/0020,PEMANFAATAN LIMBAH PERTANIAN SEBAGAI PUPUK KOMPOS,e9785ade5d3dc2e49ce575137e6d7966237780bacfbd1a76903efac488031826
21,21,NUR MAULANA,22/944407/TK/34508,TEKNIK INFORMATIKA,FAKULTAS TEKNIK,2026,UNIVERSITAS GADJAH MADA,S.Kom.,UGM/2026/0021,PENGEMBANGAN APLIKASI MOBILE E-GOVERNMENT UNTUK LAYANAN PUBLIK,552b2c2d751c36a9202b85b1b5b852e6a13701c4f1527723c4de0d0f00bc2184
22,22,VINA NURHALIZA,22/445359/SP/81469,ILMU POLITIK,FAKULTAS ILMU SOSIAL & POLITIK,2026,UNIVERSITAS GADJAH MADA,S.Sos.,UGM/2026/0022,ANALISIS KEBIJAKAN PUBLIK PADA ERA DESENTRALISASI,e05ccc36ebbfafce08d6808cc944392c5dae37306dcb658519659442e57ab2b9
23,23,MAYA RAHMAWATI,22/916269/SP/52811,HUBUNGAN INTERNASIONAL,FAKULTAS ILMU SOSIAL & POLITIK,2026,UNIVERSITAS GADJAH MADA,S.Sos.,UGM/2026/0023,ANALISIS FRAMING MEDIA TERHADAP ISU POLITIK KONTEMPORER,6b7017bec07db6b68e73a4af55a5b6440513d913da76909b864b28c7bd2ceeb0
24,24,AHMAD HARTONO,18/719245/PS/64680,PSIKOLOGI,FAKULTAS PSIKOLOGI,2022,UNIVERSITAS GADJAH MADA,S.Psi.,UGM/2022/0024,PERAN DUKUNGAN SOSIAL DALAM MENGHADAPI QUARTER LIFE CRISIS,9fc84dbdb63fe096415f74395871c3789ca2c7761c0d5edf58981ca36881bd8c
25,25,SITI SUSANTO,22/755204/EB/59194,MANAJEMEN,FAKULTAS EKONOMI & BISNIS,2026,UNIVERSITAS GADJAH MADA,S.Ak.,UGM/2026/0025,ANALISIS EFISIENSI PASAR MODAL INDONESIA PERIODE 2020-2025,eca7a18a4408533d67371aee4dbcc4b16bbda50b93eb3745184da229286d2b54
26,26,HENDRA FAUZI,20/850942/MP/12458,KIMIA,FAKULTAS MIPA,2024,UNIVERSITAS GADJAH MADA,S.Stat.,UGM/2024/0026,ANALISIS KESTABILAN SISTEM DINAMIK PADA MODEL PREDATOR-PREY,16901eea0c9c4fd0616f76f39eb10ea698ed29c535b16b5528ecbca62c81f2bd
27,27,FAJAR SAPUTRA,17/334107/MP/13723,MATEMATIKA,FAKULTAS MIPA,2021,UNIVERSITAS GADJAH MADA,S.Si.,UGM/2021/0027,PEMODELAN MATEMATIKA UNTUK PREDIKSI PENYEBARAN PENYAKIT MENULAR,5c8618d3ebc869c8e1c29f4afd0b5fc72d12ef5fc2aaafe47ba0bd74fc0f9436
28,28,YOGA LESTARI,22/392678/MP/60005,KIMIA,FAKULTAS MIPA,2026,UNIVERSITAS GADJAH MADA,S.Si.,UGM/2026/0028,KLASIFIKASI CITRA MEDIS MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK,3f3194884fac645a7c3587574a22528050de7eae4b5fd159804a04fb5654deb4
29,29,MEGA WIJAYA,20/686828/IB/70440,SASTRA JEPANG,FAKULTAS ILMU BUDAYA,2024,UNIVERSITAS GADJAH MADA,S.Hum.,UGM/2024/0029,ANALISIS NILAI BUDAYA DALAM TRADISI SEKATEN YOGYAKARTA,a16d3a9a3657e7904e67b5075d224cad32fd18686cf2daae304ff62d57ea0c51
30,30,WULAN MAULANA,16/552287/TK/90992,ARSITEKTUR,FAKULTAS TEKNIK,2020,UNIVERSITAS GADJAH MADA,S.Kom.,UGM/2020/0030,ANALISIS KINERJA JARINGAN 5G PADA KONDISI CUACA EKSTREM,c39549fc567c240adbca11775a0e575c5223a0ed0bc34dbeb7097b4e023a8eab
31,31,SINTA PRATAMA,18/435612/HK/53761,ILMU HUKUM,FAKULTAS HUKUM,2022,UNIVERSITAS GADJAH MADA,S.H.,UGM/2022/0031,TINJAUAN HUKUM TERHADAP SENGKETA MEREK DAGANG DI INDONESIA,83421936b3f6ddedb14997aab52f8864e9a8b9acd197007427b16b4f72606e2d
32,32,FITRI FIRMANSYAH,20/226169/SP/59860,HUBUNGAN INTERNASIONAL,FAKULTAS ILMU SOSIAL & POLITIK,2024,UNIVERSITAS GADJAH MADA,S.I.Kom.,UGM/2024/0032,PERAN DIPLOMASI PUBLIK DALAM MENINGKATKAN CITRA INDONESIA,f53f156e3b95bf560ddd3bb9be56d552effea7a4ee51ae3b68636e720b39537b
33,33,RIZKI MAULANA,19/113269/PS/96824,PSIKOLOGI,FAKULTAS PSIKOLOGI,2023,UNIVERSITAS GADJAH MADA,S.Psi.,UGM/2023/0033,STUDI FENOMENOLOGI PENGALAMAN MAHASISWA PERANTAU,f350fb39942163fd3524e8137e4c0fd0023ee2a327e39e3e7cbebb5b2681bc8d
34,34,FERRY FAUZI,18/118807/TK/28376,TEKNIK SIPIL,FAKULTAS TEKNIK,2022,UNIVERSITAS GADJAH MADA,S.T.,UGM/2022/0034,OPTIMASI ALGORITMA GENETIKA UNTUK PENJADWALAN MATA KULIAH OTOMATIS,bee7b95a2d436ed8b8942255451caddb2dafd3bf0fa31d67db3d123dd289d14f
35,35,RIZKI ANGGRAINI,22/458112/MP/94430,FISIKA,FAKULTAS MIPA,2026,UNIVERSITAS GADJAH MADA,S.Si.,UGM/2026/0035,ANALISIS KUALITAS AIR SUNGAI DENGAN METODE INDEKS PENCEMARAN,e10ca4c45bc9fbf11afa4773926bed8f3688995b42b7356df747e0e613488346
36,36,BAMBANG SANTOSO,21/595856/PS/46718,PSIKOLOGI,FAKULTAS PSIKOLOGI,2025,UNIVERSITAS GADJAH MADA,S.Psi.,UGM/2025/0036,HUBUNGAN SELF-ESTEEM DENGAN PERILAKU PROSOSIAL PADA REMAJA,959e7cabb733703b62d54dd7d93a8989cc0c6639944e6b193ee264fba4a42f26
37,37,YOGA SETIAWAN,20/644461/KG/85138,KEPERAWATAN,FAKULTAS KEDOKTERAN,2024,UNIVERSITAS GADJAH MADA,dr.,UGM/2024/0037,EFEKTIVITAS VAKSINASI TERHADAP PENURUNAN ANGKA KESAKITAN,78b1de16358afd74ad010578d6a6d2f3e69c9ccc1042420baacc4676d7419c08
38,38,FITRI ANGGRAINI,19/356077/TK/20048,TEKNIK ELEKTRO,FAKULTAS TEKNIK,2023,UNIVERSITAS GADJAH MADA,S.T.,UGM/2023/0038,PENGEMBANGAN APLIKASI MOBILE E-GOVERNMENT UNTUK LAYANAN PUBLIK,a5ffeb257658e045e58b70abf87aa825168240c394fca9edbf34b83dcbc8f311
39,39,BUDI HARTONO,17/298434/SP/75677,HUBUNGAN INTERNASIONAL,FAKULTAS ILMU SOSIAL & POLITIK,2021,UNIVERSITAS GADJAH MADA,S.IP.,UGM/2021/0039,STUDI TENTANG PARTISIPASI POLITIK GENERASI MILENIAL,c14831ce16f2c269f3e172be2f7c8d6fb4875380976c33c4d515976671c197ef
40,40,ANISA SAPUTRA,22/746076/KP/55364,PENDIDIKAN MATEMATIKA,FAKULTAS KEGURUAN & ILMU PENDIDIKAN,2026,UNIVERSITAS GADJAH MADA,S.Pd.,UGM/2026/0040,ANALISIS KESULITAN BELAJAR SISWA DALAM MEMBACA PEMAHAMAN,8414f7fc8efa7b69ce6e32654d9d9eb94584a447b8b90b997291bbec59a9dde9
41,41,NOVI AMELIA,17/239157/EB/40955,AKUNTANSI,FAKULTAS EKONOMI & BISNIS,2021,UNIVERSITAS GADJAH MADA,S.Ak.,UGM/2021/0041,ANALISIS EFISIENSI PASAR MODAL INDONESIA PERIODE 2020-2025,e8e1e80eda2b2f5938e954199f72fe8eaa8ed8bb7d730861639745fff1dce029
42,42,AYU WIBOWO,21/607413/SP/50005,ILMU KOMUNIKASI,FAKULTAS ILMU SOSIAL & POLITIK,2025,UNIVERSITAS GADJAH MADA,S.Sos.,UGM/2025/0042,ANALISIS KEBIJAKAN PUBLIK PADA ERA DESENTRALISASI,d29f14c06a683a56c72c7e2be22c87199d7c6c7aa659464237923ebfb026e3c6
43,43,LILIS SAFITRI,22/279421/MP/10509,STATISTIKA,FAKULTAS MIPA,2026,UNIVERSITAS GADJAH MADA,S.Stat.,UGM/2026/0043,PEMODELAN MATEMATIKA UNTUK PREDIKSI PENYEBARAN PENYAKIT MENULAR,73b78a9c3ed81716e5c22f7ae5333ba79dacab88bc7c040580357cdc830f58dc
44,44,RUDI PUSPITA,22/473776/KG/48351,KEPERAWATAN,FAKULTAS KEDOKTERAN,2026,UNIVERSITAS GADJAH MADA,S.Gz.,UGM/2026/0044,HUBUNGAN POLA MAKAN DENGAN KEJADIAN DIABETES MELITUS TIPE 2,34b9c0dda218440a0b2d5e796abcba845a71deb4955741dbcfe190ea6de431a1
45,45,SINTA MARLINA,22/419581/KP/70552,PENDIDIKAN GURU SEKOLAH DASAR,FAKULTAS KEGURUAN & ILMU PENDIDIKAN,2026,UNIVERSITAS GADJAH MADA,S.Pd.,UGM/2026/0045,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS AUGMENTED REALITY,7fe02e235af1f301c00976beb4aa975cea35c78263d7c965f2d2477b4df2e2e8
46,46,ARIF SAPUTRA,19/703218/MP/91470,BIOLOGI,FAKULTAS MIPA,2023,UNIVERSITAS GADJAH MADA,S.Stat.,UGM/2023/0046,KLASIFIKASI CITRA MEDIS MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK,435f4ec1f157127e27319444d81f1c21ccc9227a1a0acb3469689794923f188c
47,47,EKO RAHMAWATI,21/558607/SP/32272,HUBUNGAN INTERNASIONAL,FAKULTAS ILMU SOSIAL & POLITIK,2025,UNIVERSITAS GADJAH MADA,S.I.Kom.,UGM/2025/0047,ANALISIS KEBIJAKAN PUBLIK PADA ERA DESENTRALISASI,10a0522a5874ec8ad64c53ee13d1e5500f1debb9c0adadf4d397309b31cf93a5
48,48,RIZKI SANTOSO,22/688672/PT/33242,PERIKANAN,FAKULTAS PERTANIAN,2026,UNIVERSITAS GADJAH MADA,S.Pt.,UGM/2026/0048,OPTIMALISASI PRODUKSI PADI DENGAN SISTEM PERTANIAN ORGANIK,82668a6e5cfdd151a2bf8150c14db04035123d53802c26b4a2128c601411beb8
49,49,JOKO SETIAWAN,21/605056/EB/17974,ILMU EKONOMI,FAKULTAS EKONOMI & BISNIS,2025,UNIVERSITAS GADJAH MADA,S.Ak.,UGM/2025/0049,ANALISIS PENGARUH INFLASI TERHADAP DAYA BELI MASYARAKAT,ff9bbdaf09d11ad6184dbbbea21d7aac5a1ecf61651f403b2ef6cee646d4cb94
50,50,SARI PUSPITA,22/526031/TK/14447,ARSITEKTUR,FAKULTAS TEKNIK,2026,UNIVERSITAS GADJAH MADA,S.T.,UGM/2026/0050,OPTIMASI ALGORITMA GENETIKA UNTUK PENJADWALAN MATA KULIAH OTOMATIS,a38750aa0a0e949165dea5c774638ab25268fced6f6b35f15c03e694d93becd8
